FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,PF,DQ,team
40.0,75.0,15.0,34.0,6.0,8.0,101.0,14.0,32.0,46.0,31.0,18.0,13.0,9.0,18.0,0.0,1
38.0,80.0,7.0,29.0,9.0,11.0,92.0,25.0,38.0,63.0,21.0,13.0,12.0,7.0,17.0,0.0,1
32.0,78.0,13.0,33.0,6.0,14.0,83.0,24.0,26.0,50.0,24.0,15.0,15.0,1.0,19.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20.0,66.0,7.0,34.0,14.0,23.0,61.0,14.0,26.0,40.0,9.0,16.0,8.0,2.0,21.0,0.0,1
28.0,65.0,10.0,27.0,5.0,7.0,71.0,16.0,33.0,49.0,23.0,25.0,8.0,5.0,17.0,0.0,1
35.0,80.0,8.0,36.0,10.0,19.0,88.0,26.0,24.0,50.0,28.0,20.0,17.0,8.0,25.0,0.0,1
30.0,73.0,7.0,29.0,14.0,17.0,81.0,21.0,31.0,52.0,16.0,14.0,10.0,2.0,14.0,0.0,1
17.0,58.0,5.0,31.0,16.0,20.0,55.0,14.0,22.0,36.0,14.0,17.0,12.0,3.0,17.0,0.0,1
17.0,56.0,5.0,23.0,15.0,16.0,54.0,14.0,27.0,41.0,10.0,27.0,17.0,4.0,22.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
29.0,56.0,6.0,22.0,8.0,12.0,72.0,9.0,32.0,41.0,9.0,24.0,12.0,3.0,17.0,0.0,1
26.0,54.0,12.0,29.0,9.0,11.0,73.0,11.0,32.0,43.0,21.0,22.0,7.0,4.0,14.0,0.0,1
23.0,62.0,6.0,17.0,8.0,12.0,60.0,17.0,24.0,41.0,14.0,23.0,11.0,4.0,16.0,1.0,1
